	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
10AF_S5_R1_001_val_1	1404.0	2983.0	8586.0	15384.0	24835.0	37701.0	51281.0	56693.0	68754.0	84362.0	98741.0	96486.0	96802.0	100566.0	116291.0	153378.0	162673.0	142683.0	134226.0	136265.0	140038.0	144100.0	143321.0	199509.0	748525.0	1750922.0	2385254.0	7589900.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
10AF_S5_R2_001_val_2	4876.0	5061.0	6081.0	7718.0	8702.0	7384.0	6334.0	6413.0	7276.0	7769.0	7356.0	6817.0	7034.0	7648.0	8380.0	8823.0	9013.0	9873.0	11299.0	13321.0	16230.0	21041.0	28890.0	45419.0	122714.0	725720.0	6290811.0	7283660.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
10P_ER_S13_R1_001_val_1	1440.0	3010.0	8011.0	14213.0	22574.0	34016.0	46988.0	51526.0	62154.0	75643.0	88674.0	88112.0	88251.0	91207.0	104958.0	137955.0	150408.0	134992.0	127477.0	126815.0	129302.0	133273.0	132097.0	179805.0	646604.0	1596585.0	2166419.0	6873053.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
10P_ER_S13_R2_001_val_2	3761.0	3956.0	4539.0	6160.0	6787.0	5574.0	4632.0	4797.0	5632.0	6083.0	5700.0	5392.0	5533.0	5984.0	6913.0	7310.0	7569.0	7997.0	9522.0	11418.0	14762.0	18822.0	26095.0	41876.0	115056.0	693687.0	5572180.0	6707825.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
10R_SG_S19_R1_001_val_1	1617.0	3035.0	8300.0	14814.0	24594.0	37349.0	52425.0	59374.0	70866.0	86492.0	101357.0	98904.0	99053.0	103723.0	118958.0	154239.0	167495.0	149482.0	138764.0	139022.0	143079.0	147428.0	145619.0	200159.0	748690.0	1843473.0	2509180.0	7945968.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
10R_SG_S19_R2_001_val_2	4413.0	4677.0	5566.0	7240.0	8130.0	6741.0	5848.0	5847.0	6836.0	7384.0	6964.0	6289.0	6698.0	7077.0	7922.0	8537.0	8597.0	9450.0	11038.0	13659.0	17278.0	21860.0	30748.0	49076.0	132437.0	798225.0	6373683.0	7741239.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
11P_DS_S14_R1_001_val_1	1554.0	2464.0	6581.0	11294.0	20291.0	34730.0	51111.0	61827.0	80133.0	101941.0	119881.0	118751.0	116935.0	118416.0	124010.0	148806.0	162159.0	148528.0	139568.0	139716.0	141342.0	142769.0	140053.0	187009.0	644828.0	1553940.0	2097130.0	6598242.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
11P_DS_S14_R2_001_val_2	3819.0	4125.0	4919.0	6301.0	7081.0	5795.0	4958.0	4910.0	5761.0	6060.0	5756.0	5201.0	5777.0	6044.0	6987.0	7374.0	7627.0	8218.0	9751.0	11756.0	14696.0	18824.0	26496.0	42750.0	116439.0	682280.0	5447307.0	6736997.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
11R_GA_S20_R1_001_val_1	1189.0	3491.0	11810.0	22455.0	37969.0	58735.0	83401.0	94105.0	113064.0	138108.0	159870.0	155558.0	154787.0	158990.0	181353.0	235905.0	248939.0	216029.0	199183.0	196091.0	198436.0	198619.0	191639.0	256604.0	869383.0	1772933.0	2233352.0	7014750.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
11R_GA_S20_R2_001_val_2	4910.0	5291.0	6102.0	7942.0	8871.0	7409.0	6215.0	6377.0	7139.0	7747.0	7319.0	6921.0	7094.0	7648.0	8541.0	8920.0	9058.0	9988.0	11564.0	14332.0	18086.0	22893.0	32596.0	52956.0	153711.0	875839.0	6602664.0	7288615.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_HS_S1_R1_001_val_1	2037.0	8743.0	28186.0	50679.0	76294.0	108177.0	144177.0	154272.0	167722.0	192084.0	212529.0	211486.0	205273.0	199885.0	215351.0	278692.0	288830.0	246877.0	221262.0	218792.0	223158.0	226320.0	219718.0	253187.0	795496.0	1024409.0	3068494.0	230549.0	6922084.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_HS_S1_R2_001_val_2	2959.0	2884.0	3602.0	3134.0	3402.0	2920.0	2817.0	2555.0	2381.0	2400.0	2474.0	2667.0	2644.0	2875.0	2986.0	3395.0	3819.0	3934.0	4318.0	4961.0	5440.0	6607.0	8808.0	13267.0	53510.0	169034.0	3327108.0	7930786.0	4617076.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_P_DGG_S22_R1_001_val_1	4495.0	9819.0	31903.0	56764.0	85110.0	122742.0	176174.0	194069.0	205473.0	237779.0	264105.0	253972.0	236581.0	233823.0	255395.0	335858.0	359001.0	308651.0	270026.0	258827.0	257342.0	256089.0	247181.0	292019.0	1029949.0	1388950.0	4224052.0	320135.0	9193502.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_P_DGG_S22_R2_001_val_2	2619.0	2751.0	3210.0	3097.0	3278.0	2986.0	2885.0	2677.0	2411.0	2660.0	2697.0	2753.0	2922.0	3021.0	3185.0	3533.0	4096.0	4375.0	4536.0	5265.0	6082.0	7699.0	10011.0	15764.0	61569.0	204216.0	4074828.0	10365438.0	6299222.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_R_EU_S8_R1_001_val_1	3772.0	9892.0	34922.0	63504.0	97433.0	139069.0	198332.0	217456.0	229865.0	262034.0	292692.0	280827.0	259976.0	258362.0	278939.0	360060.0	384471.0	328772.0	287485.0	277835.0	274592.0	271621.0	264745.0	315714.0	1133408.0	1513623.0	4673532.0	340493.0	10275106.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
12_R_EU_S8_R2_001_val_2	2982.0	3140.0	3678.0	3334.0	3486.0	3231.0	3067.0	2938.0	2848.0	2920.0	2995.0	3047.0	3305.0	3559.0	3490.0	4178.0	4478.0	4813.0	5276.0	5933.0	6794.0	8704.0	11584.0	17406.0	70066.0	231882.0	4629770.0	11451911.0	6827717.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_HS_S2_R1_001_val_1	5059.0	11946.0	37796.0	64540.0	93599.0	131516.0	183266.0	194687.0	205570.0	234398.0	257892.0	245224.0	227709.0	223048.0	241093.0	316576.0	331003.0	280479.0	244960.0	237652.0	235297.0	233652.0	228476.0	272202.0	973924.0	1225521.0	3843916.0	300154.0	8513405.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_HS_S2_R2_001_val_2	3439.0	3228.0	4104.0	3754.0	4027.0	3594.0	3391.0	3230.0	3124.0	2951.0	2978.0	3101.0	3271.0	3170.0	3463.0	3853.0	4394.0	4662.0	4892.0	5765.0	6195.0	7912.0	10542.0	15817.0	65471.0	209816.0	3975066.0	9554533.0	5674817.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_P_FM_S23_R1_001_val_1	2590.0	7819.0	27700.0	51056.0	76410.0	109969.0	157234.0	173014.0	184157.0	210442.0	234108.0	226033.0	210507.0	205378.0	222022.0	288723.0	309839.0	263822.0	229685.0	218398.0	217028.0	215761.0	210790.0	246539.0	845433.0	1118503.0	3166929.0	244456.0	6867915.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_P_FM_S23_R2_001_val_2	2180.0	2164.0	2616.0	2393.0	2349.0	2300.0	2145.0	2063.0	2071.0	2061.0	2143.0	2224.0	2320.0	2411.0	2499.0	2968.0	3115.0	3253.0	3601.0	4152.0	4771.0	5963.0	8148.0	12178.0	52117.0	174984.0	3227069.0	8129110.0	4876892.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_R_RF_S9_R1_001_val_1	3298.0	9654.0	33232.0	61099.0	92774.0	134412.0	188991.0	209880.0	223356.0	255085.0	283341.0	273904.0	255843.0	254412.0	273873.0	352730.0	378257.0	328371.0	292211.0	278012.0	274476.0	273702.0	265953.0	307142.0	1046793.0	1483605.0	4464407.0	329856.0	9749896.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
13_R_RF_S9_R2_001_val_2	2972.0	3089.0	3824.0	3338.0	3565.0	3172.0	3008.0	3005.0	2833.0	2963.0	3006.0	3206.0	3278.0	3240.0	3471.0	4030.0	4535.0	4660.0	5129.0	5741.0	6650.0	8372.0	10975.0	16683.0	66010.0	217625.0	4256481.0	10996800.0	6726904.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_HS_S3_R1_001_val_1	3802.0	9268.0	32239.0	58826.0	90782.0	131896.0	190132.0	209051.0	220446.0	252993.0	278569.0	265867.0	247898.0	249761.0	273437.0	359450.0	376998.0	317448.0	282575.0	271852.0	273367.0	268887.0	258697.0	310969.0	1149580.0	1472187.0	4471642.0	336241.0	9830092.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_HS_S3_R2_001_val_2	3099.0	2982.0	3697.0	3446.0	3580.0	3329.0	3235.0	3140.0	2938.0	3013.0	3044.0	3204.0	3284.0	3420.0	3582.0	3970.0	4343.0	4703.0	5045.0	5651.0	6532.0	8212.0	11073.0	16950.0	66959.0	221837.0	4501997.0	11019683.0	6569004.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_P_SG_S24_R1_001_val_1	4131.0	12043.0	43378.0	77992.0	114757.0	162058.0	224511.0	247232.0	260544.0	297160.0	331836.0	323852.0	299511.0	290697.0	307015.0	390057.0	423815.0	367979.0	316070.0	303636.0	298142.0	296722.0	289420.0	331108.0	1047191.0	1455714.0	4032318.0	301410.0	8626648.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_P_SG_S24_R2_001_val_2	2634.0	2687.0	3606.0	3116.0	3162.0	2969.0	2707.0	2596.0	2481.0	2611.0	2652.0	2861.0	2977.0	3031.0	3290.0	3659.0	4132.0	4490.0	4987.0	5751.0	6239.0	8002.0	10546.0	15664.0	69611.0	233279.0	4077532.0	10529716.0	6459959.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_R_MM_S10_R1_001_val_1	6029.0	17551.0	59284.0	101843.0	146407.0	202983.0	276431.0	299247.0	316011.0	360325.0	398520.0	386592.0	356066.0	345411.0	368242.0	474134.0	512440.0	438793.0	381413.0	367594.0	364093.0	363364.0	358152.0	417054.0	1429722.0	1950277.0	5947468.0	436253.0	13009961.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
14_R_MM_S10_R2_001_val_2	4083.0	4231.0	5385.0	4672.0	5012.0	4407.0	4181.0	4096.0	3832.0	3916.0	3881.0	4350.0	4378.0	4484.0	4830.0	5608.0	6111.0	6660.0	7346.0	8450.0	9201.0	11644.0	15208.0	23027.0	94555.0	310237.0	5823905.0	14754697.0	8949273.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
15_HS_S4_R1_001_val_1	1517.0	4772.0	16741.0	31812.0	48839.0	70972.0	103519.0	115744.0	122943.0	141909.0	159786.0	154237.0	144422.0	144585.0	157436.0	205546.0	221708.0	192877.0	169280.0	163653.0	162956.0	163180.0	159105.0	188090.0	666758.0	919285.0	2817204.0	208730.0	6126419.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
15_HS_S4_R2_001_val_2	1763.0	1854.0	2157.0	1949.0	2101.0	1921.0	1804.0	1770.0	1669.0	1635.0	1678.0	1901.0	1864.0	1886.0	2018.0	2219.0	2577.0	2783.0	2977.0	3439.0	3873.0	4847.0	6477.0	10178.0	37574.0	126073.0	2668456.0	6790189.0	4094393.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
15_P_SMR_S25_R1_001_val_1	3625.0	10813.0	37412.0	67257.0	99453.0	144497.0	204337.0	223975.0	241616.0	280179.0	313149.0	301791.0	279981.0	275208.0	298635.0	390516.0	419104.0	359742.0	315231.0	304142.0	301310.0	303103.0	299404.0	353125.0	1250112.0	1666176.0	5167222.0	387005.0	11342149.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
