Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
10AF_S5_R1_001_val_1	6467361.0	1305172.0	20051.0	417288.0	736817.0	23178209.0	6919130.0	44.0206190409	0.6	0.5	57.0	0.0	0.0	directional	3225335.0	3232147.0	267601816.0	14691663.0	69014002.0	156750652.0	17504848.0
10P_ER_S13_R1_001_val_1	5703760.0	1098892.0	17699.0	351446.0	630565.0	19534595.0	6512910.0	42.8352930203	0.6	0.5	54.8	0.0	0.0	directional	2844737.0	2850052.0	235553774.0	13315562.0	60737336.0	138186516.0	16113316.0
10R_SG_S19_R1_001_val_1	6633110.0	1194938.0	20954.0	444562.0	793512.0	23398777.0	7485411.0	43.3155565963	0.6	0.5	56.4	0.0	0.0	directional	3308793.0	3313773.0	273980388.0	15313459.0	70509154.0	160747420.0	18086963.0
11P_DS_S14_R1_001_val_1	5390718.0	1062446.0	17507.0	358112.0	622862.0	18607789.0	6760845.0	40.795476982	0.6	0.5	54.8	0.0	0.0	directional	2689749.0	2692111.0	222885906.0	13214009.0	57323990.0	130651202.0	15321951.0
11R_GA_S20_R1_001_val_1	5896671.0	1201563.0	17462.0	392685.0	708911.0	21006774.0	8108514.0	38.7766733558	0.6	0.5	55.3	0.0	0.0	directional	2941707.0	2946178.0	245559072.0	15206748.0	63491161.0	142987110.0	16972431.0
12_HS_S1_R1_001_val_1	6306814.0	1541870.0	19577.0	385854.0	648657.0	22335187.0	8346079.0	38.9435399579	0.5	0.4	45.8	0.0	0.0	directional	3145727.0	3151401.0	271624175.0	16194763.0	71561966.0	150287975.0	26404536.0
12_P_DGG_S22_R1_001_val_1	8487001.0	1858033.0	27993.0	547089.0	980807.0	33620109.0	10764752.0	40.2041072325	0.6	0.5	56.5	0.0	0.0	directional	4231457.0	4241554.0	358490924.0	21109786.0	94254644.0	203154257.0	25934018.0
12_R_EU_S8_R1_001_val_1	9611723.0	2102366.0	31854.0	616478.0	1091571.0	37786479.0	11614443.0	41.2015766787	0.6	0.5	55.9	0.0	0.0	directional	4792027.0	4803991.0	406431992.0	23328532.0	106860587.0	230321127.0	29755750.0
13_HS_S2_R1_001_val_1	7947699.0	1845312.0	25101.0	490601.0	875197.0	30944450.0	9801549.0	40.5607423693	0.6	0.5	55.6	0.0	0.0	directional	3964504.0	3970725.0	336225577.0	19594560.0	88440078.0	190714262.0	24760989.0
13_P_FM_S23_R1_001_val_1	6394904.0	1443337.0	19272.0	414933.0	734324.0	25222534.0	8704019.0	38.6579826457	0.6	0.5	55.5	0.0	0.0	directional	3192354.0	3193069.0	270925577.0	16542260.0	71288132.0	153039958.0	20225696.0
13_R_RF_S9_R1_001_val_1	8842391.0	2017232.0	29655.0	559934.0	1033216.0	34481994.0	11518942.0	39.5127703675	0.6	0.5	55.2	0.0	0.0	directional	4409560.0	4418281.0	374521612.0	22378565.0	98406626.0	212087270.0	27952572.0
14_HS_S3_R1_001_val_1	9416261.0	2002194.0	30785.0	585582.0	1040555.0	37221912.0	11076497.0	41.8594402869	0.6	0.5	56.0	0.0	0.0	directional	4698126.0	4703141.0	398545328.0	22494952.0	104920594.0	225556337.0	29220348.0
14_P_SG_S24_R1_001_val_1	7840047.0	1930161.0	24827.0	495724.0	902861.0	31299428.0	11706739.0	36.5044761716	0.6	0.5	55.8	0.0	0.0	directional	3911224.0	3916854.0	332160270.0	21476947.0	87359195.0	187354826.0	24748236.0
14_R_MM_S10_R1_001_val_1	11883164.0	2815173.0	37940.0	766194.0	1414195.0	46808484.0	15393323.0	39.4898918837	0.6	0.5	56.1	0.0	0.0	directional	5931602.0	5932768.0	503224043.0	30091660.0	132274913.0	285356645.0	36603612.0
15_HS_S4_R1_001_val_1	5697379.0	1237598.0	19148.0	350326.0	647905.0	22470559.0	6849048.0	41.3332027474	0.6	0.5	56.2	0.0	0.0	directional	2842997.0	2845031.0	240546828.0	13784025.0	63268572.0	136264834.0	17544632.0
15_P_SMR_S25_R1_001_val_1	10512920.0	2433527.0	33346.0	663239.0	1199791.0	41462251.0	12693822.0	41.0015979162	0.6	0.5	56.3	0.0	0.0	directional	5246408.0	5249976.0	443645027.0	25640269.0	116456424.0	251726137.0	32137185.0
