Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
10AF_S5_R1_001_val_1	375861.0	659245.0	20507678.0	0.6	0.5	59.8	225720701.0	58114393.0	132290904.0	13772620.0
10P_ER_S13_R1_001_val_1	318059.0	566853.0	17232598.0	0.6	0.5	57.6	198429630.0	51054946.0	116551867.0	12705307.0
10R_SG_S19_R1_001_val_1	402242.0	713320.0	20752156.0	0.7	0.5	59.2	231836356.0	59542637.0	136136376.0	14289625.0
11P_DS_S14_R1_001_val_1	322441.0	557819.0	16433200.0	0.7	0.5	57.6	188048964.0	48248191.0	110414914.0	12072399.0
11R_GA_S20_R1_001_val_1	343158.0	616238.0	18058001.0	0.7	0.5	58.4	200330497.0	51673496.0	116757195.0	12882409.0
12_HS_S1_R1_001_val_1	332503.0	562045.0	18884128.0	0.6	0.5	48.7	217897540.0	57385841.0	120871709.0	19861314.0
12_P_DGG_S22_R1_001_val_1	480010.0	868012.0	28816414.0	0.6	0.5	59.4	293378107.0	77010876.0	166504900.0	19697895.0
12_R_EU_S8_R1_001_val_1	541857.0	966844.0	32494964.0	0.6	0.5	58.8	333644603.0	87607022.0	189286949.0	22746967.0
13_HS_S2_R1_001_val_1	430432.0	772097.0	26584565.0	0.6	0.5	58.4	275830902.0	72464375.0	156681153.0	18898280.0
13_P_FM_S23_R1_001_val_1	360296.0	645007.0	21380175.0	0.6	0.5	58.4	218810863.0	57480378.0	123741202.0	15203805.0
13_R_RF_S9_R1_001_val_1	490657.0	913181.0	29567776.0	0.6	0.5	58.1	306178635.0	80349954.0	173546634.0	21310433.0
14_HS_S3_R1_001_val_1	512976.0	918713.0	31848321.0	0.6	0.5	59.0	325127420.0	85472035.0	184234692.0	22140683.0
14_P_SG_S24_R1_001_val_1	430838.0	795279.0	26462091.0	0.6	0.5	58.9	267403344.0	70193332.0	151056977.0	18464827.0
14_R_MM_S10_R1_001_val_1	669644.0	1245675.0	40163442.0	0.6	0.5	59.0	412102811.0	108208707.0	233899984.0	27915359.0
15_HS_S4_R1_001_val_1	307629.0	574299.0	19274783.0	0.6	0.5	59.1	196972769.0	51719436.0	111753299.0	13343323.0
15_P_SMR_S25_R1_001_val_1	581903.0	1061723.0	35637685.0	0.6	0.5	59.2	364554668.0	95543034.0	207166458.0	24563865.0
15_R_RN_S11_R1_001_val_1	535293.0	946492.0	34091460.0	0.6	0.5	59.2	351820391.0	92553595.0	200194869.0	23498682.0
16_HS_S5_R1_001_val_1	334795.0	592632.0	20098695.0	0.6	0.5	57.9	209958351.0	55139733.0	119178307.0	14614189.0
16_P_CV_S26_R1_001_val_1	357697.0	651223.0	22160135.0	0.6	0.5	58.7	231645211.0	60751014.0	132128253.0	15596889.0
16_R_TG_S12_R1_001_val_1	519247.0	947154.0	31247575.0	0.6	0.5	58.6	321996380.0	84543013.0	182656465.0	22082926.0
17_HS_S6_R1_001_val_1	577086.0	1035366.0	35343448.0	0.6	0.5	58.9	362784140.0	95229854.0	205984198.0	24614188.0
17_P_FA_S27_R1_001_val_1	203260.0	328580.0	7413182.0	0.5	0.4	21.1	154260413.0	39923566.0	78753449.0	27638376.0
17_R_SN_S13_R1_001_val_1	436143.0	797858.0	26538345.0	0.6	0.5	58.7	274920680.0	72060611.0	156431317.0	18656406.0
18_HS_S7_R1_001_val_1	441365.0	758458.0	26666927.0	0.6	0.5	58.6	272228499.0	71696568.0	153836885.0	18828296.0
18_P_CD_S28_R1_001_val_1	400274.0	688208.0	23014188.0	0.6	0.5	52.7	253397274.0	66654000.0	141985711.0	20654893.0
18_R_GS_S14_R1_001_val_1	417133.0	800125.0	19693213.0	0.8	0.7	58.8	201826482.0	52897081.0	114229847.0	13789083.0
19_P_CS_S29_R1_001_val_1	458046.0	830877.0	28034507.0	0.6	0.5	57.9	292332353.0	76684132.0	165954576.0	20370215.0
19_R_AG_S15_R1_001_val_1	298427.0	540601.0	18298925.0	0.6	0.5	58.1	188307968.0	49399534.0	106567247.0	13203234.0
1AF_S1_R1_001_val_1	751349.0	1530978.0	40896646.0	0.7	0.7	62.7	402022063.0	104971084.0	229590807.0	24281199.0
1HS_S6_R1_001_val_1	662224.0	1329755.0	38597503.0	0.7	0.6	63.0	382353190.0	100028404.0	219064903.0	22670401.0
1MRLA_S9_R1_001_val_1	547369.0	1161804.0	31319585.0	0.7	0.6	62.4	320814363.0	83054529.0	185885015.0	18846061.0
1PEM_S1_R1_001_val_1	454006.0	956902.0	25343895.0	0.7	0.6	61.1	266854442.0	69120962.0	154858194.0	16120483.0
1RDAS_S11_R1_001_val_1	524149.0	1069858.0	31075384.0	0.6	0.6	63.0	316029908.0	82113188.0	182983742.0	18263587.0
20_P_ES_S30_R1_001_val_1	391715.0	680562.0	23278816.0	0.6	0.5	54.0	253934206.0	66808867.0	142937737.0	19836509.0
21_P_ME_S31_R1_001_val_1	527698.0	928169.0	32387971.0	0.6	0.5	57.9	339392140.0	89085842.0	192883585.0	23578875.0
22_P_CE_S32_R1_001_val_1	475633.0	851616.0	28529820.0	0.6	0.5	58.5	292437897.0	76785111.0	165552714.0	20243003.0
23_P_FA_S33_R1_001_val_1	494913.0	892922.0	29909642.0	0.6	0.5	58.6	310460483.0	81110928.0	176907518.0	21144560.0
2AF_S2_R1_001_val_1	715309.0	1451240.0	40612977.0	0.7	0.6	63.5	395083853.0	103232388.0	225771084.0	23300855.0
