Sample	r_processed	bp_processed	bp_written	percent_trimmed	r_with_adapters
10AF_S5_R1_001	14785511	1103711974	1048727131	4.98181086146	6748665
10AF_S5_R2_001	14785511	1093759244	1086534569	0.660536131661	6998599
10P_ER_S13_R1_001	13407438	1001135364	950141597	5.09359361718	6158085
10P_ER_S13_R2_001	13407438	992323525	985748448	0.662594086944	6370850
10R_SG_S19_R1_001	15425716	1151731096	1094156596	4.99895333207	7030788
10R_SG_S19_R2_001	15425716	1141424896	1133860475	0.662717365506	7331994
11P_DS_S14_R1_001	13326140	994675526	935460301	5.95322026653	6345113
11P_DS_S14_R2_001	13326140	986046788	979500969	0.663844665351	6328870
11R_GA_S20_R1_001	15307383	1142400970	1061251738	7.10339312825	7852408
11R_GA_S20_R2_001	15307383	1131819183	1124188536	0.674193114467	7294128
12_HS_S1_R1_001	16277633	1235234544	1117683554	9.51649146885	9029470
12_HS_S1_R2_001	16277633	1231183282	1222702167	0.688858850181	7799691
12_P_DGG_S22_R1_001	21269739	1613496089	1467128500	9.0714560759	11623609
12_P_DGG_S22_R2_001	21269739	1609841500	1598967985	0.675440097674	10054626
12_R_EU_S8_R1_001	23442408	1778797956	1621903334	8.82026097853	12695971
12_R_EU_S8_R2_001	23442408	1774509956	1762490492	0.677339902172	11092370
13_HS_S2_R1_001	19846254	1505119460	1357248405	9.8245394422	10881853
13_HS_S2_R2_001	19846254	1500527723	1490354567	0.677971879097	9317425
13_P_FM_S23_R1_001	16678779	1265427344	1138552187	10.026269592	9465344
13_P_FM_S23_R2_001	16678779	1262660997	1253978014	0.687673335965	7954510
13_R_RF_S9_R1_001	22478921	1705695895	1553446980	8.9259120249	12271094
13_R_RF_S9_R2_001	22478921	1701485799	1689933755	0.678938608056	10663773
14_HS_S3_R1_001	22628541	1716726600	1563809227	8.90749715185	12326460
14_HS_S3_R2_001	22628541	1712609487	1701060906	0.674326581025	10667878
14_P_SG_S24_R1_001	21569929	1636519323	1464861900	10.4891778904	12518296
14_P_SG_S24_R2_001	21569929	1633206642	1621888163	0.693021857059	10285097
14_R_MM_S10_R1_001	30242463	2294618091	2081187026	9.30137637444	16620771
14_R_MM_S10_R2_001	30242463	2288887305	2273272101	0.682218122574	14318479
15_HS_S4_R1_001	13837302	1049995871	963465070	8.24106107366	7423276
15_HS_S4_R2_001	13837302	1047372917	1040325850	0.672832654503	6565217
15_P_SMR_S25_R1_001	25761663	1954598604	1787043630	8.57234695948	13875472
15_P_SMR_S25_R2_001	25761663	1949340394	1936205165	0.673829416372	12176151
15_R_RN_S11_R1_001	22821506	1731546743	1580856406	8.70264332217	12217568
15_R_RN_S11_R2_001	22821506	1726887841	1715280061	0.672179149358	10701945
16_HS_S5_R1_001	14336389	1087932836	998741879	8.19820434209	7664083
16_HS_S5_R2_001	14336389	1085102372	1077826758	0.670500239216	6777109
16_P_CV_S26_R1_001	14856567	1127322569	1044999709	7.30251147842	7564873
16_P_CV_S26_R2_001	14856567	1124400410	1116967909	0.661019058149	6988005
16_R_TG_S12_R1_001	22937683	1740560517	1589912793	8.65512704262	12426276
16_R_TG_S12_R2_001	22937683	1736076429	1724324741	0.676910751376	10873381
17_HS_S6_R1_001	25935879	1967717417	1776288572	9.72847235818	14353989
17_HS_S6_R2_001	25935879	1962839062	1949418993	0.683707047603	12190970
17_P_FA_S27_R1_001	10257930	778535805	707564040	9.11605664687	5146549
17_P_FA_S27_R2_001	10257930	775123612	769689894	0.70101309209	5036728
17_R_SN_S13_R1_001	19329551	1466672202	1331989053	9.18290732015	10594359
17_R_SN_S13_R2_001	19329551	1462479275	1452480835	0.683663705251	9173545
18_HS_S7_R1_001	19552380	1483490723	1334805937	10.0226299831	11091537
18_HS_S7_R2_001	19552380	1480347428	1470231796	0.683328238268	9211712
18_P_CD_S28_R1_001	17932737	1360819135	1252430781	7.96493459066	9390466
18_P_CD_S28_R2_001	17932737	1356812256	1347617907	0.677643421877	8595360
18_R_GS_S14_R1_001	14605033	1108211822	1010687610	8.80014181982	7913252
18_R_GS_S14_R2_001	14605033	1104893054	1097407826	0.677461766358	6901547
19_P_CS_S29_R1_001	19811182	1503350247	1385249329	7.85584851139	10388031
19_P_CS_S29_R2_001	19811182	1499731752	1489678964	0.670305738783	9400940
19_R_AG_S15_R1_001	14291913	1084404896	984607369	9.20297643142	7843010
19_R_AG_S15_R2_001	14291913	1081523014	1074158981	0.680894710947	6766768
1AF_S1_R1_001	30166838	2224586161	2066027016	7.1275794024	14864347
1AF_S1_R2_001	30166838	2211896542	2196788799	0.683022135671	14442862
1HS_S6_R1_001	24785945	1828151709	1707477938	6.60086197474	12068441
1HS_S6_R2_001	24785945	1817766691	1805291123	0.686312938936	11980272
1MRLA_S9_R1_001	24883287	1878451623	1757051282	6.46278772972	12067281
1MRLA_S9_R2_001	24883287	1871111775	1859277651	0.632464834978	11233359
1PEM_S1_R1_001	19981458	1508477881	1408819451	6.60655560517	9766892
1PEM_S1_R2_001	19981458	1502565521	1493069323	0.631998928984	8999859
1RDAS_S11_R1_001	22737322	1716389716	1598994045	6.8396862266	11261774
1RDAS_S11_R2_001	22737322	1709520885	1698787810	0.627841115846	10166556
20_P_ES_S30_R1_001	17996445	1365704373	1254562283	8.13807821058	9564212
20_P_ES_S30_R2_001	17996445	1361618925	1352406507	0.67657828713	8603203
21_P_ME_S31_R1_001	23609998	1790979199	1625929845	9.21559301706	12730574
21_P_ME_S31_R2_001	23609998	1786758301	1774691932	0.67532183806	11106206
22_P_CE_S32_R1_001	20750525	1574568530	1445196567	8.21634374974	11123356
22_P_CE_S32_R2_001	20750525	1570582320	1560027408	0.672038126598	9858286
23_P_FA_S33_R1_001	21146523	1604603162	1477919725	7.89500108189	11087621
23_P_FA_S33_R2_001	21146523	1599484228	1588770857	0.66980160307	10017051
2AF_S2_R1_001	27653767	2039691611	1894606196	7.11310544288	13676062
2AF_S2_R2_001	27653767	2027874003	2014038808	0.68225121381	13231840
2HS_S7_R1_001	27236613	2008650394	1876212956	6.59335434357	13147249
2HS_S7_R2_001	27236613	1997108818	1983582201	0.677309963187	13026652
2MRPF_S10_R1_001	22048698	1664494474	1553198575	6.68646851873	10765554
2MRPF_S10_R2_001	22048698	1657866706	1647393193	0.631746386009	9891271
2PSL_S2_R1_001	21322885	1610213862	1504516580	6.56417662861	10418962
2PSL_S2_R2_001	21322885	1603530774	1593453969	0.628413571064	9537158
2RDAM_S12_R1_001	22290654	1683144024	1590568034	5.50018231833	10415070
2RDAM_S12_R2_001	22290654	1676271149	1665813569	0.623859690375	10069522
3AF_S3_R1_001					
3HS_S8_R1_001	23250645	1714859955	1592950768	7.10898791733	11551314
3HS_S8_R2_001	23250645	1705142329	1693432146	0.686756923504	11220491
3PDR_S3_R1_001	23985559	1811069805	1697294898	6.28219335809	11490169
3PDR_S3_R2_001	23985559	1803641954	1792347570	0.626198784906	10720199
3RAM_S13_R1_001	23452029	1770359596	1643012811	7.19327221926	11686593
3RAM_S13_R2_001	23452029	1763347173	1752090571	0.638365613554	10541276
3_MR_MF_S16_R1_001	21376196	1621745761	1474178061	9.09931159055	11680139
3_MR_MF_S16_R2_001	21376196	1618252790	1607258270	0.679406831117	10146698
4AF_S4_R1_001	26195949	1931884897	1798995912	6.87872166744	12793149
4AF_S4_R2_001	26195949	1921486679	1908389405	0.681621899498	12552881
4HS_S9_R1_001	28338404	2089952405	1940126191	7.16888162819	14024286
4HS_S9_R2_001	28338404	2078396817	2064216322	0.682280442503	13580813
4PSR_S4_R1_001	23667459	1786824780	1672300808	6.40935660183	11478433
4PSR_S4_R2_001	23667459	1779074393	1767885085	0.628939860189	10619560
4RRS_S14_R1_001	20597619	1554950293	1452865428	6.56515294795	10068062
4RRS_S14_R2_001	20597619	1548464755	1538682144	0.631761941524	9278607
4_MR_CL_S17_R1_001	30896081	2344462455	2169794579	7.45023131539	16036920
4_MR_CL_S17_R2_001	30896081	2338642973	2323091548	0.664976449144	14608040
5AF_S5_R1_001	22486468	1658528958	1555883472	6.18894747088	10761152
5AF_S5_R2_001	22486468	1649318581	1638135086	0.678067604939	10787687
5HS_S10_R1_001	25415862	1874457039	1746100532	6.8476633142	12359951
5HS_S10_R2_001	25415862	1864153904	1851459532	0.680972315256	12154706
5PAM_S5_R1_001	23412888	1767550374	1647256489	6.80568354766	11460717
5PAM_S5_R2_001	23412888	1760221572	1749100088	0.631822957797	10474812
5ROCA_S15_R1_001	21680176	1637115683	1540847853	5.88033154893	10246360
5ROCA_S15_R2_001	21680176	1630215964	1620065553	0.62264210535	9697442
5_MR_PC_S18_R1_001	24431014	1853758657	1662084087	10.3397801691	14063784
5_MR_PC_S18_R2_001	24431014	1848462852	1835651124	0.693101729696	11621960
6AF_S1_R1_001	18435744	1376165962	1291039446	6.18577398007	8901324
6AF_S1_R2_001	18435744	1364107100	1354932461	0.672574682736	8791201
6PAG_S6_R1_001	21596403	1630208537	1522770428	6.59045186929	10583316
6PAG_S6_R2_001	21596403	1623764289	1613462969	0.634409813652	9761293
6R_FD_S15_R1_001	12936898	965735189	907649158	6.01469550469	6254054
6R_FD_S15_R2_001	12936898	956918394	950512035	0.669478091357	6157989
6_MR_PM_S19_R1_001	16018261	1215360762	1110419652	8.6345645903	8655405
6_MR_PM_S19_R2_001	16018261	1212045554	1203835254	0.677392031422	7596268
7AF_S2_R1_001	15267236	1139610580	1075525251	5.62344103545	7223340
7AF_S2_R2_001	15267236	1129112094	1121523363	0.672097220491	7322398
7PIL_S7_R1_001	26980826	2037405006	1904547248	6.52093018368	13034714
7PIL_S7_R2_001	26980826	2029218245	2016479124	0.627784666898	12054191
7R_FV_S16_R1_001	9047194	675316617	635388778	5.9124620948	4322141
7R_FV_S16_R2_001	9047194	669082566	664610300	0.668417655348	4300278
7_MR_RC_S20_R1_001	12953377	982704816	890851082	9.34703203897	7155904
7_MR_RC_S20_R2_001	12953377	980099368	973443846	0.679066043434	6144450
8AF_S3_R1_001	13987822	1044433604	992476224	4.97469439905	6409213
8AF_S3_R2_001	13987822	1034951063	1028113535	0.66066196214	6622022
8PSN_S8_R1_001	27208684	2054278649	1920827572	6.49625001287	13126120
8PSN_S8_R2_001	27208684	2045367035	2032527418	0.627741465482	12134179
8R_BM_S17_R1_001	13228085	987628401	939100650	4.91356374026	5972741
8R_BM_S17_R2_001	13228085	978730419	972277736	0.659291146442	6242849
8_MR_MA_S21_R1_001	20850876	1582063711	1421988638	10.1181179928	11905646
8_MR_MA_S21_R2_001	20850876	1578338202	1567443358	0.690273097755	9879251
9AF_S4_R1_001	17191805	1283458821	1218673524	5.04771138271	7875377
9AF_S4_R2_001	17191805	1271537082	1263120607	0.661913452556	8137121
9P_PA_S12_R1_001	14273771	1065526472	1001961341	5.96560786338	6886944
9P_PA_S12_R2_001	14273771	1055686954	1048624121	0.669027212398	6794501
9R_MV_S18_R1_001	14056067	1049492359	996285603	5.0697611606	6504771
9R_MV_S18_R2_001	14056067	1039559684	1032713740	0.658542660452	6637406
HS10_S10_R1_001	19449998	1451553116	1345864492	7.28107175928	9855746
HS10_S10_R2_001	19449998	1439120437	1429385801	0.67642955723	9232037
HS11_S11_R1_001	12419612	927043088	873612307	5.76357039836	5930927
HS11_S11_R2_001	12419612	918933793	912781323	0.669522662771	5933117
HS6_S6_R1_001	14675638	1095462418	1036697902	5.3643571002	6811970
HS6_S6_R2_001	14675638	1085584949	1078344812	0.666934172832	6983744
HS7_S7_R1_001	30332664	2263458903	2100601438	7.1950705526	15085994
HS7_S7_R2_001	30332664	2242177201	2226981002	0.677742998779	14337954
HS8_S8_R1_001	14350632	1071212490	1013198543	5.41572727555	6695552
HS8_S8_R2_001	14350632	1061686153	1054599196	0.667519019625	6839157
HS9_S9_R1_001	19285408	1439625520	1350641795	6.18103275913	9345597
HS9_S9_R2_001	19285408	1427124811	1417600049	0.667409180093	9128054
