Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
10AF_S5_R1_001_val_1	pass	0.0	pass	69.4291389613	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	14691663.0	fail	fail	pass	32.0	85.0163387232	10AF_S5_R1_001_val_1.fq.gz	fail	pass
10AF_S5_R2_001_val_2	pass	0.0	pass	72.4689986423	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	14691663.0	pass	fail	warn	31.0	80.5044592706	10AF_S5_R2_001_val_2.fq.gz	pass	pass
10P_ER_S13_R1_001_val_1	pass	0.0	pass	69.4078160576	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	13315562.0	fail	fail	pass	32.0	87.4517299116	10P_ER_S13_R1_001_val_1.fq.gz	fail	pass
10P_ER_S13_R2_001_val_2	pass	0.0	pass	72.5218902514	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	13315562.0	pass	fail	warn	31.0	83.8752324612	10P_ER_S13_R2_001_val_2.fq.gz	pass	pass
10R_SG_S19_R1_001_val_1	pass	0.0	pass	69.4992798165	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	15313459.0	fail	fail	pass	32.0	86.1488520536	10R_SG_S19_R1_001_val_1.fq.gz	fail	pass
10R_SG_S19_R2_001_val_2	pass	0.0	pass	72.5133647467	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	15313459.0	pass	fail	warn	31.0	82.5661100529	10R_SG_S19_R2_001_val_2.fq.gz	pass	pass
11P_DS_S14_R1_001_val_1	pass	0.0	pass	68.8139874886	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	pass	13214009.0	fail	fail	pass	32.0	87.5480527247	11P_DS_S14_R1_001_val_1.fq.gz	fail	pass
11P_DS_S14_R2_001_val_2	pass	0.0	pass	72.5234164741	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	13214009.0	pass	fail	warn	31.0	84.4378668129	11P_DS_S14_R2_001_val_2.fq.gz	pass	pass
11R_GA_S20_R1_001_val_1	pass	0.0	pass	67.7467567688	Sanger / Illumina 1.9	fail	warn	20-75	Conventional base calls	pass	warn	15206748.0	fail	fail	pass	33.0	85.2244270959	11R_GA_S20_R1_001_val_1.fq.gz	fail	pass
11R_GA_S20_R2_001_val_2	pass	0.0	pass	72.4148261022	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	15206748.0	pass	fail	warn	31.0	82.740004303	11R_GA_S20_R2_001_val_2.fq.gz	pass	pass
12_HS_S1_R1_001_val_1	pass	0.0	pass	67.440583107	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	16194763.0	pass	fail	pass	35.0	70.7361744761	12_HS_S1_R1_001_val_1.fq.gz	pass	pass
12_HS_S1_R2_001_val_2	pass	0.0	pass	73.9445645484	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	16194763.0	pass	fail	warn	34.0	76.1249290089	12_HS_S1_R2_001_val_2.fq.gz	pass	pass
12_P_DGG_S22_R1_001_val_1	pass	0.0	warn	67.949531369	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21109786.0	pass	fail	pass	35.0	68.8437812637	12_P_DGG_S22_R1_001_val_1.fq.gz	pass	pass
12_P_DGG_S22_R2_001_val_2	pass	0.0	pass	74.0333577043	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21109786.0	pass	fail	warn	33.0	74.4636405969	12_P_DGG_S22_R2_001_val_2.fq.gz	pass	pass
12_R_EU_S8_R1_001_val_1	pass	0.0	warn	68.009162514	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23328532.0	pass	fail	pass	35.0	67.2942491202	12_R_EU_S8_R1_001_val_1.fq.gz	pass	pass
12_R_EU_S8_R2_001_val_2	pass	0.0	pass	74.008104239	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	23328532.0	pass	fail	warn	33.0	73.4175398004	12_R_EU_S8_R2_001_val_2.fq.gz	pass	pass
13_HS_S2_R1_001_val_1	pass	0.0	warn	67.6544778755	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	19594560.0	pass	fail	pass	35.0	67.9907314013	13_HS_S2_R1_001_val_1.fq.gz	pass	pass
13_HS_S2_R2_001_val_2	pass	0.0	pass	73.9609479366	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	19594560.0	pass	fail	warn	33.0	73.2878306875	13_HS_S2_R2_001_val_2.fq.gz	pass	pass
13_P_FM_S23_R1_001_val_1	pass	0.0	pass	67.207196961	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	16542260.0	pass	fail	pass	35.0	71.7801944684	13_P_FM_S23_R1_001_val_1.fq.gz	pass	pass
13_P_FM_S23_R2_001_val_2	pass	0.0	pass	74.0167389462	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	16542260.0	pass	fail	warn	33.0	77.0886737841	13_P_FM_S23_R2_001_val_2.fq.gz	pass	pass
13_R_RF_S9_R1_001_val_1	pass	0.0	warn	67.8902169107	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	22378565.0	pass	fail	pass	35.0	68.7964567821	13_R_RF_S9_R1_001_val_1.fq.gz	pass	pass
13_R_RF_S9_R2_001_val_2	pass	0.0	pass	74.0376512971	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22378565.0	pass	fail	warn	33.0	74.4606934088	13_R_RF_S9_R2_001_val_2.fq.gz	pass	pass
14_HS_S3_R1_001_val_1	pass	0.0	warn	67.9827945399	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22494952.0	pass	fail	pass	35.0	66.6448808311	14_HS_S3_R1_001_val_1.fq.gz	pass	pass
14_HS_S3_R2_001_val_2	pass	0.0	pass	73.9992725479	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22494952.0	pass	fail	warn	33.0	72.459014759	14_HS_S3_R2_001_val_2.fq.gz	pass	pass
14_P_SG_S24_R1_001_val_1	pass	0.0	warn	66.6140028189	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	21476947.0	pass	fail	pass	36.0	68.3121423349	14_P_SG_S24_R1_001_val_1.fq.gz	pass	pass
14_P_SG_S24_R2_001_val_2	pass	0.0	pass	74.0379228016	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21476947.0	pass	fail	warn	33.0	74.2574912487	14_P_SG_S24_R2_001_val_2.fq.gz	pass	pass
14_R_MM_S10_R1_001_val_1	pass	0.0	warn	67.620453973	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	30091660.0	pass	fail	pass	35.0	64.9094885721	14_R_MM_S10_R1_001_val_1.fq.gz	pass	pass
14_R_MM_S10_R2_001_val_2	pass	0.0	pass	74.01760747	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	30091660.0	pass	fail	warn	33.0	71.0417028139	14_R_MM_S10_R2_001_val_2.fq.gz	pass	pass
15_HS_S4_R1_001_val_1	pass	0.0	pass	68.38534608	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	13784025.0	pass	fail	pass	35.0	72.7287138673	15_HS_S4_R1_001_val_1.fq.gz	pass	pass
15_HS_S4_R2_001_val_2	pass	0.0	pass	74.0338961951	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	13784025.0	pass	fail	warn	33.0	77.624873214	15_HS_S4_R2_001_val_2.fq.gz	pass	pass
15_P_SMR_S25_R1_001_val_1	pass	0.0	warn	68.1657828941	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	25640269.0	pass	fail	pass	35.0	66.2202582653	15_P_SMR_S25_R1_001_val_1.fq.gz	pass	pass
15_P_SMR_S25_R2_001_val_2	pass	0.0	pass	74.0058986901	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	25640269.0	pass	fail	warn	33.0	72.1903527981	15_P_SMR_S25_R2_001_val_2.fq.gz	pass	pass
15_R_RN_S11_R1_001_val_1	pass	0.0	warn	68.1469283725	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	22691179.0	pass	fail	pass	35.0	63.23358329	15_R_RN_S11_R1_001_val_1.fq.gz	pass	pass
15_R_RN_S11_R2_001_val_2	pass	0.0	warn	73.9217463315	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22691179.0	pass	fail	warn	33.0	69.8600385302	15_R_RN_S11_R2_001_val_2.fq.gz	pass	pass
16_HS_S5_R1_001_val_1	pass	0.0	pass	68.3911469873	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	14290367.0	pass	fail	pass	35.0	72.0086661323	16_HS_S5_R1_001_val_1.fq.gz	pass	pass
16_HS_S5_R2_001_val_2	pass	0.0	pass	73.9928807987	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	14290367.0	pass	fail	warn	33.0	76.8176020834	16_HS_S5_R2_001_val_2.fq.gz	pass	pass
16_P_CV_S26_R1_001_val_1	pass	0.0	pass	69.2501014791	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	14778909.0	pass	fail	pass	35.0	70.734780748	16_P_CV_S26_R1_001_val_1.fq.gz	pass	pass
16_P_CV_S26_R2_001_val_2	pass	0.0	pass	73.9961135156	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	14778909.0	pass	fail	warn	32.0	75.5426960671	16_P_CV_S26_R2_001_val_2.fq.gz	pass	pass
16_R_TG_S12_R1_001_val_1	pass	0.0	warn	68.0556342525	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	22849952.0	pass	fail	pass	35.0	67.4365657348	16_R_TG_S12_R1_001_val_1.fq.gz	pass	pass
16_R_TG_S12_R2_001_val_2	pass	0.0	pass	74.0240839893	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22849952.0	pass	fail	warn	33.0	73.3935703705	16_R_TG_S12_R2_001_val_2.fq.gz	pass	pass
17_HS_S6_R1_001_val_1	pass	0.0	warn	67.3534428349	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	25775212.0	pass	fail	pass	35.0	65.5152566247	17_HS_S6_R1_001_val_1.fq.gz	pass	pass
17_HS_S6_R2_001_val_2	pass	0.0	pass	73.9891633093	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	25775212.0	pass	fail	warn	33.0	71.6451268852	17_HS_S6_R2_001_val_2.fq.gz	pass	pass
17_P_FA_S27_R1_001_val_1	pass	0.0	warn	68.0831016348	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	10172700.0	pass	fail	pass	35.0	69.7075718225	17_P_FA_S27_R1_001_val_1.fq.gz	pass	pass
17_P_FA_S27_R2_001_val_2	pass	0.0	pass	73.9175493232	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	10172700.0	pass	fail	warn	34.0	76.7476471382	17_P_FA_S27_R2_001_val_2.fq.gz	pass	pass
17_R_SN_S13_R1_001_val_1	pass	0.0	warn	67.6829212555	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	19236414.0	pass	fail	pass	35.0	69.0595494093	17_R_SN_S13_R1_001_val_1.fq.gz	pass	pass
17_R_SN_S13_R2_001_val_2	pass	0.0	pass	74.0009377008	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	19236414.0	pass	fail	warn	33.0	74.9359321173	17_R_SN_S13_R2_001_val_2.fq.gz	pass	pass
18_HS_S7_R1_001_val_1	pass	0.0	warn	67.0695948553	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	19447199.0	pass	fail	pass	35.0	66.010209265	18_HS_S7_R1_001_val_1.fq.gz	pass	pass
18_HS_S7_R2_001_val_2	pass	0.0	pass	73.9677940252	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	19447199.0	pass	fail	warn	33.0	71.6961056414	18_HS_S7_R2_001_val_2.fq.gz	pass	pass
18_P_CD_S28_R1_001_val_1	pass	0.0	pass	68.8121810677	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	17811772.0	pass	fail	pass	35.0	71.3405816984	18_P_CD_S28_R1_001_val_1.fq.gz	pass	pass
18_P_CD_S28_R2_001_val_2	pass	0.0	pass	74.0392130553	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	17811772.0	pass	fail	warn	33.0	76.7360462495	18_P_CD_S28_R2_001_val_2.fq.gz	pass	pass
18_R_GS_S14_R1_001_val_1	pass	0.0	pass	68.0280938345	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	14524468.0	pass	fail	pass	35.0	72.6852631652	18_R_GS_S14_R1_001_val_1.fq.gz	pass	pass
18_R_GS_S14_R2_001_val_2	pass	0.0	pass	74.0398661073	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	14524468.0	pass	fail	warn	33.0	77.4232604272	18_R_GS_S14_R2_001_val_2.fq.gz	pass	pass
19_P_CS_S29_R1_001_val_1	pass	0.0	pass	68.79396059	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	19714641.0	pass	fail	pass	35.0	70.3023544997	19_P_CS_S29_R1_001_val_1.fq.gz	pass	pass
19_P_CS_S29_R2_001_val_2	pass	0.0	pass	74.0465252195	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	19714641.0	pass	fail	warn	33.0	75.6517919688	19_P_CS_S29_R2_001_val_2.fq.gz	pass	pass
19_R_AG_S15_R1_001_val_1	pass	0.0	pass	67.7014063701	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	14218803.0	pass	fail	pass	36.0	71.2346993823	19_R_AG_S15_R1_001_val_1.fq.gz	pass	pass
19_R_AG_S15_R2_001_val_2	pass	0.0	pass	74.0251896028	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	14218803.0	pass	fail	warn	33.0	76.5425371959	19_R_AG_S15_R2_001_val_2.fq.gz	pass	pass
1AF_S1_R1_001_val_1	pass	0.0	pass	67.2008474064	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	30085681.0	pass	fail	pass	34.0	80.0521731851	1AF_S1_R1_001_val_1.fq.gz	pass	pass
1AF_S1_R2_001_val_2	pass	0.0	pass	72.0707036015	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	30085681.0	pass	fail	warn	32.0	82.1706578596	1AF_S1_R2_001_val_2.fq.gz	pass	pass
1HS_S6_R1_001_val_1	pass	0.0	pass	67.6136081719	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	24725937.0	pass	fail	pass	34.0	77.1945218008	1HS_S6_R1_001_val_1.fq.gz	pass	pass
1HS_S6_R2_001_val_2	pass	0.0	pass	71.9833975149	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	24725937.0	pass	fail	warn	32.0	79.543162055	1HS_S6_R2_001_val_2.fq.gz	pass	pass
1MRLA_S9_R1_001_val_1	pass	0.0	pass	69.3123516849	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	24812032.0	pass	fail	pass	33.0	81.0757808468	1MRLA_S9_R1_001_val_1.fq.gz	pass	pass
1MRLA_S9_R2_001_val_2	pass	0.0	pass	73.9948155798	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	24812032.0	pass	fail	warn	32.0	81.7771342763	1MRLA_S9_R2_001_val_2.fq.gz	pass	pass
1PEM_S1_R1_001_val_1	pass	0.0	pass	69.2008809489	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	19923517.0	pass	fail	pass	33.0	82.0729898824	1PEM_S1_R1_001_val_1.fq.gz	pass	pass
1PEM_S1_R2_001_val_2	pass	0.0	pass	73.970946495	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	19923517.0	pass	fail	warn	31.0	82.662998206	1PEM_S1_R2_001_val_2.fq.gz	pass	pass
1RDAS_S11_R1_001_val_1	pass	0.0	pass	69.001949435	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22668619.0	pass	fail	pass	33.0	77.873851236	1RDAS_S11_R1_001_val_1.fq.gz	pass	pass
1RDAS_S11_R2_001_val_2	pass	0.0	pass	73.9277897785	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	22668619.0	pass	fail	warn	32.0	79.5523955432	1RDAS_S11_R2_001_val_2.fq.gz	pass	pass
20_P_ES_S30_R1_001_val_1	pass	0.0	pass	68.6024284252	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	17892748.0	pass	fail	pass	35.0	71.0532649812	20_P_ES_S30_R1_001_val_1.fq.gz	pass	pass
20_P_ES_S30_R2_001_val_2	pass	0.0	pass	74.0189656726	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	17892748.0	pass	fail	warn	33.0	76.3340028891	20_P_ES_S30_R2_001_val_2.fq.gz	pass	pass
21_P_ME_S31_R1_001_val_1	pass	0.0	warn	68.0524847	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23365819.0	pass	fail	pass	35.0	67.7187945808	21_P_ME_S31_R1_001_val_1.fq.gz	pass	pass
21_P_ME_S31_R2_001_val_2	pass	0.0	pass	74.0196237932	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23365819.0	pass	fail	warn	33.0	73.1418929472	21_P_ME_S31_R2_001_val_2.fq.gz	pass	pass
22_P_CE_S32_R1_001_val_1	pass	0.0	warn	68.4040910345	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	20671055.0	pass	fail	pass	35.0	68.9809357714	22_P_CE_S32_R1_001_val_1.fq.gz	pass	pass
22_P_CE_S32_R2_001_val_2	pass	0.0	pass	74.030659393	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	20671055.0	pass	fail	warn	33.0	74.2495204868	22_P_CE_S32_R2_001_val_2.fq.gz	pass	pass
23_P_FA_S33_R1_001_val_1	pass	0.0	warn	68.7712030572	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21027121.0	pass	fail	pass	35.0	68.9755410734	23_P_FA_S33_R1_001_val_1.fq.gz	pass	pass
