Sample	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_gc	Bismark_mqc-generalstats-percent_aligned	Bismark_mqc-generalstats-percent_chh_meth	Bismark_mqc-generalstats-percent_cpg_meth	FastQC_mqc-generalstats-total_sequences	Bismark_mqc-generalstats-aligned_reads	FastQC_mqc-generalstats-avg_sequence_length	Bismark_mqc-generalstats-percent_chg_meth	Bismark_mqc-generalstats-total_c	FastQC_mqc-generalstats-percent_duplicates
10AF_S5_R1_001	4.98181086146											
10AF_S5_R1_001_val_1		36.3636363636	32.0	44.0206190409	0.5	59.8	14691663.0	6467361.0	69.4291389613	0.6	225720701.0	14.9836612768
10AF_S5_R2_001	0.660536131661											
10AF_S5_R2_001_val_2		9.09090909091	31.0				14691663.0		72.4689986423			19.4955407294
10P_ER_S13_R1_001	5.09359361718											
10P_ER_S13_R1_001_val_1		36.3636363636	32.0	42.8352930203	0.5	57.6	13315562.0	5703760.0	69.4078160576	0.6	198429630.0	12.5482700884
10P_ER_S13_R2_001	0.662594086944											
10P_ER_S13_R2_001_val_2		9.09090909091	31.0				13315562.0		72.5218902514			16.1247675388
10R_SG_S19_R1_001	4.99895333207											
10R_SG_S19_R1_001_val_1		36.3636363636	32.0	43.3155565963	0.5	59.2	15313459.0	6633110.0	69.4992798165	0.7	231836356.0	13.8511479464
10R_SG_S19_R2_001	0.662717365506											
10R_SG_S19_R2_001_val_2		9.09090909091	31.0				15313459.0		72.5133647467			17.4338899471
11P_DS_S14_R1_001	5.95322026653											
11P_DS_S14_R1_001_val_1		36.3636363636	32.0	40.795476982	0.5	57.6	13214009.0	5390718.0	68.8139874886	0.7	188048964.0	12.4519472753
11P_DS_S14_R2_001	0.663844665351											
11P_DS_S14_R2_001_val_2		9.09090909091	31.0				13214009.0		72.5234164741			15.5621331871
11R_GA_S20_R1_001	7.10339312825											
11R_GA_S20_R1_001_val_1		36.3636363636	33.0	38.7766733558	0.5	58.4	15206748.0	5896671.0	67.7467567688	0.7	200330497.0	14.7755729041
11R_GA_S20_R2_001	0.674193114467											
11R_GA_S20_R2_001_val_2		9.09090909091	31.0				15206748.0		72.4148261022			17.259995697
12_HS_S1_R1_001	9.51649146885											
12_HS_S1_R1_001_val_1		9.09090909091	35.0	38.9435399579	0.5	48.7	16194763.0	6306814.0	67.440583107	0.6	217897540.0	29.2638255239
12_HS_S1_R2_001	0.688858850181											
12_HS_S1_R2_001_val_2		9.09090909091	34.0				16194763.0		73.9445645484			23.8750709911
12_P_DGG_S22_R1_001	9.0714560759											
12_P_DGG_S22_R1_001_val_1		9.09090909091	35.0	40.2041072325	0.5	59.4	21109786.0	8487001.0	67.949531369	0.6	293378107.0	31.1562187363
12_P_DGG_S22_R2_001	0.675440097674											
12_P_DGG_S22_R2_001_val_2		9.09090909091	33.0				21109786.0		74.0333577043			25.5363594031
12_R_EU_S8_R1_001	8.82026097853											
12_R_EU_S8_R1_001_val_1		9.09090909091	35.0	41.2015766787	0.5	58.8	23328532.0	9611723.0	68.009162514	0.6	333644603.0	32.7057508798
12_R_EU_S8_R2_001	0.677339902172											
12_R_EU_S8_R2_001_val_2		9.09090909091	33.0				23328532.0		74.008104239			26.5824601996
13_HS_S2_R1_001	9.8245394422											
13_HS_S2_R1_001_val_1		9.09090909091	35.0	40.5607423693	0.5	58.4	19594560.0	7947699.0	67.6544778755	0.6	275830902.0	32.0092685987
13_HS_S2_R2_001	0.677971879097											
13_HS_S2_R2_001_val_2		9.09090909091	33.0				19594560.0		73.9609479366			26.7121693125
13_P_FM_S23_R1_001	10.026269592											
13_P_FM_S23_R1_001_val_1		9.09090909091	35.0	38.6579826457	0.5	58.4	16542260.0	6394904.0	67.207196961	0.6	218810863.0	28.2198055316
13_P_FM_S23_R2_001	0.687673335965											
13_P_FM_S23_R2_001_val_2		9.09090909091	33.0				16542260.0		74.0167389462			22.9113262159
13_R_RF_S9_R1_001	8.9259120249											
13_R_RF_S9_R1_001_val_1		9.09090909091	35.0	39.5127703675	0.5	58.1	22378565.0	8842391.0	67.8902169107	0.6	306178635.0	31.2035432179
13_R_RF_S9_R2_001	0.678938608056											
13_R_RF_S9_R2_001_val_2		9.09090909091	33.0				22378565.0		74.0376512971			25.5393065912
14_HS_S3_R1_001	8.90749715185											
14_HS_S3_R1_001_val_1		9.09090909091	35.0	41.8594402869	0.5	59.0	22494952.0	9416261.0	67.9827945399	0.6	325127420.0	33.3551191689
14_HS_S3_R2_001	0.674326581025											
14_HS_S3_R2_001_val_2		9.09090909091	33.0				22494952.0		73.9992725479			27.540985241
14_P_SG_S24_R1_001	10.4891778904											
14_P_SG_S24_R1_001_val_1		9.09090909091	36.0	36.5044761716	0.5	58.9	21476947.0	7840047.0	66.6140028189	0.6	267403344.0	31.6878576651
14_P_SG_S24_R2_001	0.693021857059											
