Module	Section	Sample Name	Source
Cutadapt	all_sections	8_MR_MA_S21_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/8_MR_MA_S21_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	22_P_CE_S32_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/22_P_CE_S32_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	15_P_SMR_S25_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/15_P_SMR_S25_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	2RDAM_S12_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/2RDAM_S12_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	13_R_RF_S9_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/13_R_RF_S9_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7R_FV_S16_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/7R_FV_S16_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	23_P_FA_S33_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/23_P_FA_S33_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	2AF_S2_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/2AF_S2_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	9P_PA_S12_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/9P_PA_S12_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	1AF_S1_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/1AF_S1_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	3RAM_S13_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/3RAM_S13_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7R_FV_S16_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/7R_FV_S16_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	13_R_RF_S9_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/13_R_RF_S9_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	1MRLA_S9_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/1MRLA_S9_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	17_P_FA_S27_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/17_P_FA_S27_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HS11_S11_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/HS11_S11_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	18_R_GS_S14_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/18_R_GS_S14_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	12_R_EU_S8_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/12_R_EU_S8_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	7PIL_S7_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/7PIL_S7_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HS6_S6_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/HS6_S6_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	8PSN_S8_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/8PSN_S8_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	14_R_MM_S10_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/14_R_MM_S10_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	9R_MV_S18_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/9R_MV_S18_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	4AF_S4_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/4AF_S4_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	2HS_S7_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/2HS_S7_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	2RDAM_S12_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/2RDAM_S12_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	18_HS_S7_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/18_HS_S7_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	21_P_ME_S31_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/21_P_ME_S31_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HS9_S9_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/HS9_S9_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	22_P_CE_S32_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/22_P_CE_S32_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HS9_S9_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/HS9_S9_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	2AF_S2_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/2AF_S2_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	4PSR_S4_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/4PSR_S4_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	19_R_AG_S15_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/19_R_AG_S15_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	5ROCA_S15_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/5ROCA_S15_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	1PEM_S1_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/1PEM_S1_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	9R_MV_S18_R2_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/9R_MV_S18_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HS10_S10_R1_001	/data/user/pepinme/Giuditta/Input/fastq_trimmed/HS10_S10_R1_001.fastq.gz_trimming_report.txt
